Prefecture,N_Person,N_Births,N_15_64
北海道,5381733,34040,3190804
青森県,1308265,8035,757867
岩手県,1279594,8175,734886
宮城県,2333899,16648,1410322
秋田県,1023119,5396,565237
山形県,1123891,7259,639336
福島県,1914039,13217,1120189
茨城県,2916976,20431,1747312
栃木県,1974255,14029,1203616
群馬県,1973115,13279,1165780
埼玉県,7266534,53069,4507174
千葉県,6222666,44054,3779812
東京都,13515271,108990,8734155
神奈川県,9126214,68131,5744383
新潟県,2304264,14967,1333453
富山県,1066328,7178,605545
石川県,1154008,8696,672515
福井県,786740,5856,451409
山梨県,834930,5705,488845
長野県,2098804,14519,1186865
岐阜県,2031903,14039,1185431
静岡県,3700305,26261,2175004
愛知県,7483128,62436,4618657
三重県,1815865,12663,1061577
滋賀県,1412916,11598,857720
京都府,2610353,18521,1539540
大阪府,8839469,66602,5341654
兵庫県,5534800,41605,3280212
奈良県,1364316,8965,796552
和歌山県,963579,6464,546279
鳥取県,573441,4310,326301
島根県,694352,5109,376877
岡山県,1921525,14910,1098140
広島県,2843990,22150,1662522
山口県,1404729,9455,778430
徳島県,755733,5182,428059
香川県,976263,7387,547844
愛媛県,1385262,9569,776111
高知県,728276,4837,400605
福岡県,5101556,43438,3057855
佐賀県,832832,6743,483019
長崎県,1377187,10558,784862
熊本県,1786170,14657,1024400
大分県,1166338,8658,657169
宮崎県,1104069,8797,622544
鹿児島県,1648177,13209,929758
沖縄県,1433566,16217,892109
